Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_country_and/or_sea,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title
ERR1190603,RSZAXPI001879-26,WGS,197,4409250845,PRJEB12123,SAMEA3708529,3196778413,BEIJING GENOME INSTITUTE,2014,public,"sra,fastq","gs,ncbi,ena,s3","s3.us-east-1,ncbi.public,gs.US,ena",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1263978,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:43Z,2016-10-21T09:37:02Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001879-26,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708529,ERS1015678,Illumina,ERS1015678,ERP013562,Stool sample from China
ERR1190662,RSZAXPI001941-31,WGS,197,4222576594,PRJEB12123,SAMEA3708588,3067571276,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,ncbi,gs,s3","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264037,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:02Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001941-31,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708588,ERS1015737,Illumina,ERS1015737,ERP013562,Stool sample from China
ERR1190663,RSZAXPI001942-32,WGS,197,4379917486,PRJEB12123,SAMEA3708589,3172731293,BEIJING GENOME INSTITUTE,2014,public,"sra,fastq","gs,ena,ncbi,s3","gs.US,ncbi.public,s3.us-east-1,ena",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264038,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:04Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001942-32,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708589,ERS1015738,Illumina,ERS1015738,ERP013562,Stool sample from China
ERR1190664,RSZAXPI001943-33,WGS,197,4366073345,PRJEB12123,SAMEA3708590,3207969254,BEIJING GENOME INSTITUTE,2014,public,"sra,fastq","ena,s3,gs,ncbi","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264039,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:04Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001943-33,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708590,ERS1015739,Illumina,ERS1015739,ERP013562,Stool sample from China
ERR1190665,RSZAXPI001944-34,WGS,197,4783173002,PRJEB12123,SAMEA3708591,3472831709,BEIJING GENOME INSTITUTE,2014,public,"sra,fastq","s3,gs,ena,ncbi","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264040,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:04Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001944-34,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708591,ERS1015740,Illumina,ERS1015740,ERP013562,Stool sample from China
ERR1190666,RSZAXPI001945-35,WGS,197,4521101977,PRJEB12123,SAMEA3708592,3273471773,BEIJING GENOME INSTITUTE,2014,public,"sra,fastq","ena,ncbi,s3,gs","ncbi.public,ena,gs.US,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264041,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:02Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001945-35,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708592,ERS1015741,Illumina,ERS1015741,ERP013562,Stool sample from China
ERR1190683,RSZAXPI001962-90,WGS,198,4167870470,PRJEB12123,SAMEA3708609,2902693125,BEIJING GENOME INSTITUTE,2014,public,"sra,fastq","s3,ena,gs,ncbi","s3.us-east-1,ncbi.public,gs.US,ena",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264058,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:02Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001962-90,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708609,ERS1015758,Illumina,ERS1015758,ERP013562,Stool sample from China
ERR1190684,RSZAXPI001963-93,WGS,196,4948626013,PRJEB12123,SAMEA3708610,3699061615,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,s3.us-east-1,ncbi.public",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264059,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:02Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001963-93,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708610,ERS1015759,Illumina,ERS1015759,ERP013562,Stool sample from China
ERR1190685,RSZAXPI001964-94,WGS,198,4905682166,PRJEB12123,SAMEA3708611,3416049521,BEIJING GENOME INSTITUTE,2014,public,"fastq,sra","ncbi,gs,s3,ena","ncbi.public,ena,gs.US,s3.us-east-1",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264060,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:02Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001964-94,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708611,ERS1015760,Illumina,ERS1015760,ERP013562,Stool sample from China
ERR1190686,RSZAXPI001965-95,WGS,198,5184895445,PRJEB12123,SAMEA3708612,3629257405,BEIJING GENOME INSTITUTE,2014,public,"sra,fastq","gs,s3,ena,ncbi","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,2016-05-31,2018-11-16,human gut,human-associated habitat,faeces,ERX1264061,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-05-31T17:01:44Z,2016-10-21T09:37:04Z,public,Illumina HiSeq 2500,metagenome,RSZAXPI001965-95,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-06-01T00:00:00Z,SAMEA3708612,ERS1015761,Illumina,ERS1015761,ERP013562,Stool sample from China
